_id,id,parcel_id,inactive,name,rentable,type,primary_user,address_number,street,zip,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
185,1417196909,42-A-10,f,McGonigle Concession Stand,f,Concession,CitiParks,,NATHAN WAY,15205.0,https://tools.wprdc.org/images/pittsburgh/facilities/McGonigle_Concession_Stand.jpg,Sheraden,2,20.0,42003562500,5.0,20.0,6.0,1-16,40.45967499,-80.06579938
186,1250016985,34-D-20,f,McKinley Park Concession Stand,f,Concession,CitiParks,,BAUSMAN ST,15210.0,https://tools.wprdc.org/images/pittsburgh/facilities/McKinley_Park_Concession_Stand.jpg,Beltzhoover,4,18.0,42003562400,5.0,18.0,3.0,4-7,40.41338431,-79.99755122
188,1976162345,34-D-20,f,McKinley Park Picnic Shelter,t,Shelter,Department of Public Works,,BAUSMAN ST,15210.0,https://tools.wprdc.org/images/pittsburgh/facilities/McKinley_Park_Picnic_Shelter.jpg,Beltzhoover,4,18.0,42003562400,5.0,18.0,3.0,4-7,40.41222136,-80.00059429
203,1058907971,85-D-50-0-1,f,Mellon Park Garden Society Center,f,Activity,CitiParks,1049.0,SHADY AVE,15232.0,https://tools.wprdc.org/images/pittsburgh/facilities/Mellon_Park_Garden_Society_Center.jpg,Point Breeze,8,14.0,42003140400,3.0,14.0,4.0,2-17,40.45161749,-79.91872683
204,2084729055,125-N-200,f,Mellon Park Picnic Shelter,t,Shelter,Department of Public Works,,FIFTH AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Mellon_Park_Picnic_Shelter.jpg,Shadyside,8,7.0,42003070800,2.0,7.0,4.0,3-13,40.45414461,-79.91510963
206,147112584,125-N-200,f,Mellon Park Small Shelter,f,Shelter,Department of Public Works,,FIFTH AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Mellon_Park_Small_Shelter.jpg,Shadyside,8,7.0,42003070800,2.0,7.0,4.0,3-13,40.45417081,-79.91634893
207,632462653,125-N-200,f,Mellon Park Tennis Bubble,f,Activity,CitiParks,6549.0,FIFTH AVE,15232.0,https://tools.wprdc.org/images/pittsburgh/facilities/Mellon_Park_Tennis_Bubble.jpg,Shadyside,8,7.0,42003070800,2.0,7.0,4.0,3-13,40.45373718,-79.91710208
211,1764471208,34-N-86,f,Moore Park Gazebo,f,Shelter,Department of Public Works,,PIONEER AVE,,https://tools.wprdc.org/images/pittsburgh/facilities/Moore_Park_Gazebo.jpg,Brookline,4,19.0,42003191700,5.0,19.0,6.0,4-26,40.405267,-80.01353487
212,181434669,34-N-86,f,Moore Pool and Recreation Building,f,Pool/Rec,CitiParks,1801.0,PIONEER AVE,15226.0,https://tools.wprdc.org/images/pittsburgh/facilities/Moore_Pool_and_Recreation_Building.jpg,Brookline,4,19.0,42003191700,5.0,19.0,6.0,4-26,40.40551162,-80.01396647
213,1828904178,121-L-128,f,Morningside Fieldhouse,f,Concession,CitiParks,100.0,ANTIETAM ST,15206.0,https://tools.wprdc.org/images/pittsburgh/facilities/Morningside_Fieldhouse.jpg,Morningside,7,10.0,42003101400,2.0,10.0,5.0,3-7,40.4845828,-79.92573361
215,911220262,1-N-219,f,Mount Washington Gazebo,f,Shelter,Department of Public Works,,MERRIMAC ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Mount_Washington_Gazebo.jpg,Mount Washington,2,19.0,42003190300,5.0,19.0,3.0,4-1,40.43509118,-80.0132747
217,1883573076,005-S-097,f,Mount Washington Shelter House,f,Shelter,CitiParks,529.0,NORTON ST,15211.0,https://tools.wprdc.org/images/pittsburgh/facilities/Mount_Washington_Shelter_House.jpg,Mount Washington,2,19.0,42003191400,5.0,19.0,3.0,4-27,40.42465389,-80.01341478
219,1730090585,39-N-36,f,Oakwood Concession Stand,f,Concession,Department of Public Works,,NOBLESTOWN RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Oakwood_Concession_Stand.jpg,Oakwood,2,28.0,42003562800,5.0,28.0,6.0,1-19,40.42532346,-80.06561208
221,1741704843,68-M-42,f,Oakwood Shelter,f,Shelter,Department of Public Works,1684.0,DURBIN ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Oakwood_Shelter.jpg,Oakwood,2,28.0,42003562800,5.0,28.0,6.0,1-19,40.42592672,-80.06698115
224,538822860,5-D-95,f,Olympia Park Recreation Center,f,Activity,CitiParks,447.0,HALLOCK ST,15211.0,https://tools.wprdc.org/images/pittsburgh/facilities/Olympia_Park_Recreation_Center.jpg,Mount Washington,2,19.0,42003190300,5.0,19.0,3.0,4-1,40.43126775,-80.01832363
225,2125838358,5-D-95,f,Olympia Park Shelter,f,Shelter,Department of Public Works,,OLYMPIA RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Olympia_Park_Shelter.jpg,Mount Washington,2,19.0,42003190300,5.0,19.0,3.0,4-1,40.4312128,-80.01802519
